lead_hours,method,n,mae_c,rmse_c,bias_c
10,bias_corrected_c,26,1.0104107718803088,1.271896850934067,-0.6466054836831704
10,ridge_corrected_c,26,1.0043590899003583,1.180940422652257,0.4724693907582677
10,timesfm_c,26,0.6446898533747747,0.9400509444595128,-0.45240167471078724
10,timesfm_nwp_c,26,0.7119880089393029,1.036267552423285,-0.4789852729210487
11,persistence_c,25,4.88,5.176871642217914,4.88
11,yesterday_c,25,0.68,1.1135528725660044,0.12
11,ecmwf_ifs_c,25,1.18,1.4166156853571825,-0.884
11,bias_corrected_c,25,0.8421871743937721,1.14641176247468,-0.29004856066050577
11,ridge_corrected_c,25,1.2127809552306779,1.4275849066849162,0.9233613205528036
11,timesfm_c,25,0.7682733917236328,0.9949101364596264,-0.15931877136230468
11,timesfm_nwp_c,25,0.7192621612548828,0.9606863067016205,-0.09644783020019532
12,persistence_c,26,5.076923076923077,5.378017936291857,5.076923076923077
12,yesterday_c,26,0.9615384615384616,1.224744871391589,-0.34615384615384615
12,ecmwf_ifs_c,26,1.2576923076923074,1.5108581361902607,-1.126923076923077
12,bias_corrected_c,26,0.7821235887488047,1.1242853549162086,-0.5350670221447088
12,ridge_corrected_c,26,1.054091767965921,1.2181128594090156,0.6555772729372141
12,timesfm_c,26,0.921357668363131,1.1528133044707745,-0.33679624704214245
12,timesfm_nwp_c,26,0.8352386034451998,1.1130449738026182,-0.2794649417583759
13,persistence_c,26,5.269230769230769,5.522680508593631,5.269230769230769
13,yesterday_c,26,1.1923076923076923,1.4806443503784736,-0.4230769230769231
13,ecmwf_ifs_c,26,1.3769230769230765,1.5723573678740124,-1.2692307692307692
13,bias_corrected_c,26,0.933840500233982,1.1393441403079536,-0.6773747144524012
13,ridge_corrected_c,26,0.9271269094381632,1.1714866233752037,0.5695666729303317
13,timesfm_c,26,0.9239742572490985,1.202370079628265,-0.39586507357083833
13,timesfm_nwp_c,26,0.8996246044452374,1.1629827323700588,-0.3605802976168119
14,persistence_c,26,5.730769230769231,6.009607692302769,5.730769230769231
14,yesterday_c,26,0.9230769230769231,1.3008872711759818,-0.15384615384615385
14,ecmwf_ifs_c,26,1.4692307692307693,1.6485424797961101,-1.2230769230769232
14,bias_corrected_c,26,0.9847475225460991,1.1809935414617916,-0.6312208682985552
14,ridge_corrected_c,26,0.8716893358769174,1.2297328062430484,0.6434408485154847
14,timesfm_c,26,0.8802364055926983,1.105975490628879,-0.26831890986515927
14,timesfm_nwp_c,26,0.8473982444176307,1.0661408317349355,-0.2570408307589017
15,persistence_c,26,6.1923076923076925,6.465886815255298,6.1923076923076925
15,yesterday_c,26,0.9615384615384616,1.3445044840729643,-0.11538461538461539
15,ecmwf_ifs_c,26,1.4269230769230772,1.6027620390582482,-1.2500000000000002
15,bias_corrected_c,26,0.9453789617724436,1.1610975601556452,-0.6581439452216322
15,ridge_corrected_c,26,0.8962454220393491,1.1539176860410572,0.5913212085901878
15,timesfm_c,26,0.9335836997398963,1.1664355037764997,-0.12201888744647686
15,timesfm_nwp_c,26,0.9136249102078952,1.0991894897169425,-0.1662940245408278
16,persistence_c,25,6.4,6.6573267908372955,6.4
16,yesterday_c,25,1.04,1.3856406460551018,-0.16
16,ecmwf_ifs_c,25,1.352,1.5466091943344966,-1.2400000000000002
16,bias_corrected_c,25,0.8735833315663508,1.046042587368868,-0.6292382069675052
16,ridge_corrected_c,25,0.8150546503603011,1.0924346920069725,0.5514755216928926
